"address_id","latitude","longitude","shipments"
"0000213c-6c49-4874-8bad-36b0622f3be1",52.621156,39.555495,19
"00011006-b3f0-4b57-acab-9299a4dfa9d1",58.293931,43.865229,1
"0001685b-5018-4d38-9475-5e942d1e58ab",53.274026,39.163606,13
"00022c25-c306-4262-b528-ddec13eb19cd",52.622345,33.733044,1
"0005c7d1-a43e-417e-8f6b-9a34b5b8464a",56.585167,38.588621,23
"0007fafa-9761-4595-9108-70e1b88c204a",51.269063,37.560126,36
"00088429-2fb7-4aba-b8bc-42495258e036",52.899851,32.979754,47
"000bff34-8f4c-453e-8465-f9ac00eea982",49.972689,40.515746,39
"000c069e-9c93-45b5-a6fb-f5d501dbf9da",51.815588,36.55337,17
"000e8359-cb43-49a3-af0a-f5920c3a2db2",57.740813,39.950301,17
"000ecac9-4e2a-4fa1-bcd6-68a5478c88f8",52.143206,40.328146,1
"000fb632-fe56-4ebf-ac68-991786473d67",55.12152,33.251223,10
"0010c482-802d-44e7-a8c3-44e9af83a3ee",51.11433,38.06529,12
"00127dea-2fa8-40ef-8a84-459f9371ab96",58.298431,43.846646,1
"00138a3f-b536-4bd3-bc0e-09282b6c1602",50.673609,36.573785,1
"0017e311-cbb6-4b33-b7f2-4e7fd0cbfb4d",50.932872,40.723143,6
"0018f965-2e23-4c3e-8738-b1cb1b135d36",52.661624,32.930906,49
"001a67b0-ff0e-4aa4-8ae1-8f7173c03b04",49.940608,40.557981,26
"001cf311-b4f4-451e-b4df-31e96d9b0af7",51.020218,38.427491,1
"00212e92-92e1-4d06-84fc-ddc3531a5173",53.514432,36.226945,3
"0022ea76-88f8-4e90-b06e-1e50e5fe043b",51.381633,38.107711,148
"002379e6-0a39-47af-9254-b3c61048ec24",51.76412,41.886228,28
"00261437-278d-47d9-9d06-2b1aef22279d",58.272107,43.880145,1
"002c7855-99b8-4d77-81a8-089b17f982bb",51.838139,35.251314,1
"002cdfd2-d2cf-4ae2-9d5d-8a737edaaf27",50.942673,37.810964,3
"002d85a4-d5af-48d9-a71e-b4d4d40f4d54",58.112318,38.801061,7
"002e275b-fdf6-4ec2-afe1-cf0452a7a151",52.541037,39.751362,31
"002f018b-5e2a-4264-bdf7-4ba65e2c2b5f",52.090327,35.866757,15
"00303c8e-9009-4568-ba20-a9d4b9ebf0fd",57.176781,37.540923,17
"003094bd-dab8-42f7-91f5-eb2d7ad701a8",52.00908,41.688603,1
"00332558-b40f-4fe5-88da-e7020a8316e9",52.682423,39.470144,3
"003434e8-e152-44c2-8a20-b6a8f3a80e07",56.163004,35.089687,67
"003473d9-2616-46cd-96b6-7df16912d725",51.848078,39.211081,1
"003488fc-352d-4ee9-8626-c5cd52377766",52.416963,33.100094,14
"0036792f-86f2-45fe-b641-c5e993fde630",57.805837,42.243021,1
"0036fddd-e71e-48d2-8140-aaff9ffa6a81",58.047566,38.945883,4
"003acdbe-e022-4ec2-91f2-33c5efea6070",51.305485,37.949814,2
"003c6bb4-f163-41a0-bbf9-cafe9f2ece81",57.018909,34.164904,26
"003e753d-a5f4-472f-a4d1-329f7042f472",58.485018,41.553494,6
"003f80b6-7f49-4ff6-9d3a-f82f2ccdc0bc",51.895868,39.214737,10
"004028e0-a710-4858-ae35-ac3084ab5c26",58.338999,44.733594,12
"00415d96-b7fc-4ef6-b279-4bba009d34fe",51.732321,38.838055,4
"0042385d-13a3-4301-8084-ebfdc7fd069d",51.746769,41.872897,1
